автор автором авторы
авторский авторского
алексей алексей
антон антон
баловаться балуется
бегать бегает
бес бес беса
библиотекереклама библиотекереклама
больно больно
бразда бразды
важность важность
ваня ваня
взор взор
взрывать взрывая
вид вид
влепить влепить
вовремя вовремя
возить возить
возиться возись
вознаграждение вознаграждения
воинский воинскому
восемь восемь восьми
вперить вперил
вскачь вскачь
всё всё
вчера вчера
вчерашний вчерашней
выйти выйдет выйти
вынести вынес
выплата выплаты
высечь высеку
глядеть гляди
гм гм
гнать гнать
год лет
гора горе
горячий горячих
господь господи
грозить грози грозит грозить
громко громко
два двух
двор двор
дворовый дворовый
дело деле дело делу
деньга деньги
десятка десяток
десяток десятка
должный должно
достигнуть достигла
достояние достояние
дрова дрова
дух духе
душа душу
жадность жадности
жалко жалко
жучок жучку
жёлчь желчь
забыть забудешь
заглушать заглушал
заглушить заглушить
задрать задрала
заезжать заезжал
заиграть заиграла
зима зима
зубрило зубрил
играть играть
идти иди
излить излить
ильич ильич
использоваться использоваться
исправно исправно
карта карты
кибитка кибитка
кляча кляча
коли коли
колоть колол
комар комаров
комната комнате
кончить кончил
корыстолюбие корыстолюбия
крестьянин крестьянин
крикнуть крикнул
лень лень
лететь летит
либо либо
лицо лицом
лишь лишь
лошадка лошадка
лошадь лошадь
любой любым
маленький маленькой
мальчик мальчик
мальчишка мальчишку
мать мать
милость милость
момент момента
монотонно монотонно
мужик мужик
мука мука муку
наделать наделала
наесться наелся
наживной наживное
назад назад
найтись нашелся
наказать наказать
написать написано написать
напомнить напомнил
начальник начальнику
неприятный неприятное
нерассудительный нерассудительный
нечаянно нечаянно
ничтожный ничтожная
обновлять обновляет
общественный общественное
овраг овраг
окно окна окно
оно оно
опубликовать опубликовано
отлагательство отлагательства
отыграться отыграться
оформление оформление
очень очень
палец пальцем
папаша папаша
перейти перешло
печальный печальный
писание писание
писать писать пишут
платить платил
плестись плетется
подать подати
подборка подборка
подкатить подкатило
поездка поездке
позволять позволяют
пойти пойди пошел
понестись понеслась
понимать понимают
посадить посадив
поскакать поскачи
посмертно посмертно
потеря потеря
потребность потребность
поужинать поужинать
почуя почуя
прачкина прачкин прачкина
привезти привез
прижизненный прижизненно
принести принесли
принять принять
пристать пристав
программирование программирование
продолжать продолжал
проехать проехать
проиграть проиграл
проигрывать проигрывают
произведение произведение произведений произведения
пройти пройти прошло
прописать пропишу
прорубь прорубь
простить прости
публикация публикации
пустяшный пустяшная
путь путь
пушистый пушистые
пушкин пушкин
пьяница пьяница
пять пять
рад рад
разбить разбил
развеселить развеселила
развести развели
размышлять размышлять
разрешение разрешения
рана рану
растеребить растеребил
расточительность расточительности
родитель родителей
рубль рублей
рылов рылова
рысак рысак
рысью рысью
садиться садиться
сайт сайте
салазки салазки
сам сами самом
свободно свободно
свой свое своей свой
священный священное
семьдесят семидесяти
семён семен
сердечный сердечную
сесть сел
сидеть сидел
сказать скажет скажи
скипидар скипидару
смешно смешно
снег снег
снежный снежные
собака собак
согласие согласия
соседний соседней
сочинить сочинил
спросить спросил
спьяну спьяну
становиться становилась
становой станового становой
стараться старался
стать стал стало
стекло стекло
степень степеней
сугроб сугробов сугробы
сумма сумма
сущность сущности
съездить съездил
сын сын
также также
такой такого
текст текст
терпеть терпящих
торжествовать торжествовал торжествовать торжествуя
тосковать тоскуя
тот тому
точно точно
трактир трактир
треф треф
туз туза
ты тебе
тысяча тысяч
угодить угодит
угол угла угол
удалой удалая
уехать уехать
ужин ужина
ум уме
умерший умершим
умолкнуть умолк
упрекать упрекал
урок урок
усадить усадить
утешать утешал
уха ухе
фабрика фабрику
ходить ходил
человек люди
чехов чехов
читать читал
чувствительный чувствительнее
чувство чувство
чудак чудак
чёрт черти
штука штуку
шубёнка шубенку
экий экая
этакий этакую
это это
