автор автором авторы
авторский авторского
аккомпанировать аккомпанировал
акулина акулина
алексей алексей
антон антон
аппетит аппетит аппетитом
архивариус архивариуса
бас бас
бегать бегал
библиотекереклама библиотекереклама
блаженство блаженства
блезир блезиру
большой большой
брат брат
братец братцы
быть будут
ваш ваше
ввалиться ввалился
вести вел
вечер вечера
вечером вечером
висеть висела висеть
водка водки
вознаграждение вознаграждения
войти вошли
воронцовский воронцовская
восьмой восьмом
вслух вслух
всё всё
второй второй
вчера вчера
выйти выйдемте вышла
вынимать вынимала
выпилить выпили
выпить выпьем
выплата выплаты
гвоздь гвозде гвоздь
год лет
голод голод
голос голос
горе горя
господин господа господам
гостиная гостиной
губернский губернских
гусем гусем
гусь гусь гуся
два две двух
дверь дверь
делать делает
дело дело
десять десять
должный должно
достояние достояние
друг друг друга
дурак дуракам
есть ели
жареный жареного
желудок желудки
жена жена жене
женский женский
жёнка женка
заждаться заждалась
закусить закусим
запах запах
застегнуть застегнула
зато зато
захихикать захихикал
знать знаю
идти шли
именинник именинник
именины именины
иначе иначе
использоваться использоваться
карьера карьера
катя кати катя
килечка килечкой
класть кладите
козырёк козырьком
кокарда кокардой
колбаса колбаса
коллежский коллежских
комар комаров
компания компании компания
коньяк коньяк
коробка коробки
куличок куличках
куний кунья
купить купил
кухонный кухонную
лениво лениво
либо либо
лицо лицом
любой любым
мечтать мечтал
момент момента
мука мукой
назад назад
написать написано
начало начала
неблагополучный неблагополучно
небось небось
невский невскому
недолго недолго
новый новая
нос носы
обидно обидно
обитать обитал
общественный общественное
огорчаться огорчаться
огурец огурцами
он нему
оно оно
опубликовать опубликовано
оформление оформление
пахнуть пахло пахнет
передний переднюю
пережарить пережарен
переждать переждем
перейти перешло
перепортить перепортила
печь печи
пиво пива
пирог пирог пирога пироги
плестись плелась
побледнеть побледнели
повторимый повторим
поглядеть поглядели
подборка подборка
поди поди
подлом подлом
подождать подождем
пожрать пожрем
пока пока
полтора полтора
полуотворить полуотворенную
помочь помоги
помощник помощник
поплестись поплелась
посидеть посидели посидим посидит
послать пошли
послышаться послышался
посмертно посмертно
постой постоя
потребовать потребовали
почувствовать почувствовали
превосходительство превосходительство
прежний прежнего
приготовить приготовила
прижизненный прижизненно
прийтись пришлось
прикатить прикатил
принести принесли
приняться приняться
прислать пришли
пробормотать пробормотал
программирование программирование
продолжать продолжала
произведение произведение произведений произведения
пройти прошло
прокатил прокатилов
прокатилов прокатилова
пропасть пропадет
простонать простонал
прошептать прошептали
публикация публикации
раздеваться раздевайтесь
раздеться раздеться
разрешение разрешения
регистратор регистраторов
ретироваться ретироваться
сайт сайте
сардина сардин
сбор сбор
свободно свободно
свободный свободен
секретарь секретарей
семьдесят семидесяти
сжаться сжались
сидеть сидит
сила сила
сильный сильней
сиплый сиплый
сиять сияющим
сказать сказал
сквернавец сквернавца
сквозь сквозь
скоро скоро
слиберальничать слиберальничал
служба службы
согласие согласия
сорт сортов
спросить спросил
стакан стакану
стена стене стену
страсть страсть
стручков стручкову
стручковый стручков стручкова
сундук сундук
сухой сух
счастие счастье
также также
такой такая такое
твой твоей
текст текст
торчать торчал
трактир трактир трактире трактиру
ты тебе
тёплый теплы
тётка тетка
увидеть увидели
удовольствие удовольствия
уйти уйдет
указывать указывая
умерший умершим
утешать утешать
фортуна фортуна
фуражка фуражка
хорошенький хорошенькая
хотеться хочется
чай чаю
час час часа часов часу
часть частей
чашка чашку
четыре четырех
чехов чехов
чиновник чиновники
чиновный чиновные
чувствовать чувствуете
чёрт черти чёрт чёрта
шапка шапка
шуба шубы
щи щи
эй эй
этакий этакого
это это
